Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW39,GW40,GW41,GW42,GW43,GW44,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
26,William,Saliba,£4.90,0,DEF,Arsenal,15.6,2,1,12,0,117,4.3,14,571,25,2415,4,0,0,0,0,100,£0.40,£0.00,4620329,0,5425985,0,529,100.8,114,74.5,38,,,,,,,0,49,4,0,2,3,#DIV/0!,0.04,1
27,Marcus,Marquinhos,£4.60,0,MID,Arsenal,0.1,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,-£0.40,£0.00,14818,0,7000,0,0,0.2,0,0,38,,,,,,,0,46,-4,0,3,3,#DIV/0!,0,0
28,Gabriel,Jesus,£8.10,0,FWD,Arsenal,28.3,11,7,9,12,125,4.8,17,401,23,2064,6,0,0,0,0,100,£0.10,£0.00,8366682,0,3780822,0,660.6,427.8,1331,241.9,38,,,,,,,0,81,1,0,4,3,#DIV/0!,0.75,1.01
111,Leandro,Trossard,£6.60,0,MID,Arsenal,7.2,8,13,8,9,154,4.3,8,494,38,2237,1,0,0,0,0,100,£0.10,£0.00,4595357,0,5012558,0,666,711.4,875,225.2,38,,,,,,,0,66,1,0,3,3,#DIV/0!,0.5,1.24
130,Jorge Luiz,Jorginho,£5.70,0,MID,Arsenal,1.9,2,2,9,3,79,2.5,5,379,23,2127,4,0,0,0,0,100,-£0.30,£0.00,603430,0,449419,0,400.4,261.4,98,76.1,38,,,,,,,0,57,-3,0,3,3,#DIV/0!,0.12,1.03
313,Oleksandr,Zinchenko,£5.00,0,DEF,Arsenal,9,1,2,10,0,99,3.7,8,500,28,2122,3,0,0,0,0,100,£0.00,£0.00,4119808,0,3068591,0,405,387.7,190,98.3,38,,,,,,,0,50,0,0,2,3,#DIV/0!,0.16,1.13
607,Matthew,Smith,£4.40,0,MID,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-£0.10,£0.00,12653,0,14556,0,0,0,0,0,38,,,,,,,0,44,-1,0,3,3,#DIV/0!,0,0
630,Ethan,Nwaneri,£4.50,0,MID,Arsenal,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,100,£0.00,£0.00,1384,0,1680,0,0,0,0,0,38,,,,,,,0,45,0,0,3,3,#DIV/0!,0,0
631,Lino,Sousa,£4.00,0,DEF,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,7450,0,8687,0,0,0,0,0,38,,,,,,,0,40,0,0,2,3,#DIV/0!,0,0
655,Karl,Hein,£3.90,0,GK,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-£0.10,£0.00,2093,0,2601,0,0,0,0,0,38,,,,,,,0,39,-1,0,1,3,#DIV/0!,0,0
668,Amario,Cozier-Duberry,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,238,0,502,0,0,0,0,0,38,,,,,,,0,45,0,0,3,3,#DIV/0!,0,0
685,Nathan,Butler-Oyedeji,£4.50,0,FWD,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,699,0,735,0,0,0,0,0,38,,,,,,,0,45,0,0,4,3,#DIV/0!,0,0
710,Jakub,Kiwior,£4.00,0,DEF,Arsenal,0.3,1,0,2,13,26,3.7,1,111,6,425,0,0,0,0,0,,£0.00,£0.00,4336,0,32094,0,98.6,17.9,21,13.9,38,,,,,,,0,40,0,0,2,3,#DIV/0!,0.02,1.37
751,Reuell,Walters,£4.00,0,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,310,0,569,0,0,0,0,0,38,,,,,,,0,40,0,0,2,3,#DIV/0!,0,0
